contract_id,clause_id,original_identifier,article_number,paragraph_number,content,clause_type,contract_type,jurisdiction,language,issuer,version,source_uri,is_reference,text
NDA_REF_KR_2025_V1,confidential_information_definition-030,제15조 제2항,15,2,"비밀정보의 정의. '비밀정보'란 공개되지 않은 기술·상업·재무·고객 정보 및 샘플·도면·코드 등 일체의 자료를 의미하며, 표시에 관계없이 그 성질상 비밀로 볼 수 있는 정보를 포함한다.",confidential_information_definition,NDA,KR-Seoul,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"비밀정보의 정의. '비밀정보'란 공개되지 않은 기술·상업·재무·고객 정보 및 샘플·도면·코드 등 일체의 자료를 의미하며, 표시에 관계없이 그 성질상 비밀로 볼 수 있는 정보를 포함한다."
NDA_REF_KR_2025_V1,purpose-031,제1조 제3항,1,3,목적. 수신자는 비밀정보를 오직 프로젝트 타당성 검토 및 협업 가능성 평가 목적에 한하여 사용한다.,purpose,NDA,KR,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,목적. 수신자는 비밀정보를 오직 프로젝트 타당성 검토 및 협업 가능성 평가 목적에 한하여 사용한다.
NDA_REF_KR_2025_V1,non_disclosure-032,제2조 제4항,2,4,"비밀유지의무. 수신자는 비밀정보를 제3자에게 누설하여서는 아니 되며, 최소한 합리적인 주의의무 이상으로 이를 보호하여야 한다.",non_disclosure,NDA,KR-Seoul,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"비밀유지의무. 수신자는 비밀정보를 제3자에게 누설하여서는 아니 되며, 최소한 합리적인 주의의무 이상으로 이를 보호하여야 한다."
NDA_REF_KR_2025_V1,non_use-033,제3조 제1항,3,1,비사용의무. 수신자는 비밀정보를 본 계약에서 정한 목적 외의 용도로 사용하지 아니한다.,non_use,NDA,KR-Seoul,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,비사용의무. 수신자는 비밀정보를 본 계약에서 정한 목적 외의 용도로 사용하지 아니한다.
NDA_REF_KR_2025_V1,exclusions-034,제4조 제2항,4,2,"예외. 다음 각 호의 정보는 비밀정보에서 제외된다: (1) 공개 당시 이미 공지된 정보, (2) 수신자의 귀책사유 없이 공지에 이른 정보, (3) 적법하게 제3자로부터 취득한 정보, (4) 비밀정보를 사용하지 않고 독자적으로 개발한 정보.",exclusions,NDA,KR,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"예외. 다음 각 호의 정보는 비밀정보에서 제외된다: (1) 공개 당시 이미 공지된 정보, (2) 수신자의 귀책사유 없이 공지에 이른 정보, (3) 적법하게 제3자로부터 취득한 정보, (4) 비밀정보를 사용하지 않고 독자적으로 개발한 정보."
NDA_REF_KR_2025_V1,permitted_disclosure-035,제5조 제3항,5,3,"허용되는 공개. 법령 또는 법원·정부기관의 요구에 의하여 공개가 필요한 경우, 가능한 범위에서 사전 서면 통지 후 최소 범위로 공개할 수 있다. 수신자의 임직원·자문사는 필요 최소한으로만 접근할 수 있으며 동일한 수준의 비밀유지의무를 부담한다.",permitted_disclosure,NDA,KR-Seoul,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"허용되는 공개. 법령 또는 법원·정부기관의 요구에 의하여 공개가 필요한 경우, 가능한 범위에서 사전 서면 통지 후 최소 범위로 공개할 수 있다. 수신자의 임직원·자문사는 필요 최소한으로만 접근할 수 있으며 동일한 수준의 비밀유지의무를 부담한다."
NDA_REF_KR_2025_V1,term-036,제6조 제4항,6,4,기간. 본 계약의 유효기간은 서명일로부터 3년으로 한다. 다만 비밀유지의무는 유효기간 만료 후에도 제20조(존속)에 따라 존속한다.,term,NDA,KR-Busan,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,기간. 본 계약의 유효기간은 서명일로부터 3년으로 한다. 다만 비밀유지의무는 유효기간 만료 후에도 제20조(존속)에 따라 존속한다.
NDA_REF_KR_2025_V1,survival-037,제7조 제1항,7,1,"존속. 비밀유지, 비사용, 권리불포기, 준거법 및 분쟁해결 조항은 계약 종료 후에도 5년간 존속하며, 영업비밀에 해당하는 정보에 대해서는 그 비밀성이 유지되는 동안 존속한다.",survival,NDA,KR-Busan,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"존속. 비밀유지, 비사용, 권리불포기, 준거법 및 분쟁해결 조항은 계약 종료 후에도 5년간 존속하며, 영업비밀에 해당하는 정보에 대해서는 그 비밀성이 유지되는 동안 존속한다."
NDA_REF_KR_2025_V1,return_or_destruction-038,제8조 제2항,8,2,"반환·파기. 공개자의 요청 시 수신자는 비밀정보 및 복제물을 지체 없이 반환하거나 영구히 파기하고, 파기 사실을 서면으로 확인한다.",return_or_destruction,NDA,KR-Busan,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"반환·파기. 공개자의 요청 시 수신자는 비밀정보 및 복제물을 지체 없이 반환하거나 영구히 파기하고, 파기 사실을 서면으로 확인한다."
NDA_REF_KR_2025_V1,residuals-039,제9조 제3항,9,3,"리저듀얼. 수신자의 직원이 비의도적으로 기억하는 일반적 아이디어·개념은 사용 가능하나, 의도적 암기·문자적 재현·역설계는 금지된다.",residuals,NDA,KR-Busan,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"리저듀얼. 수신자의 직원이 비의도적으로 기억하는 일반적 아이디어·개념은 사용 가능하나, 의도적 암기·문자적 재현·역설계는 금지된다."
NDA_REF_KR_2025_V1,ownership_no_license-040,제10조 제4항,10,4,"소유권·라이선스 부인. 비밀정보에 대한 권리는 공개자에게 귀속되며, 본 계약은 명시적 허락 없는 어떠한 라이선스도 부여하지 않는다.",ownership_no_license,NDA,KR,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"소유권·라이선스 부인. 비밀정보에 대한 권리는 공개자에게 귀속되며, 본 계약은 명시적 허락 없는 어떠한 라이선스도 부여하지 않는다."
NDA_REF_KR_2025_V1,no_warranty-041,제11조 제1항,11,1,보증 부인. 공개자는 비밀정보의 정확성·완전성·적합성에 대하여 명시적 또는 묵시적 보증을 하지 않는다.,no_warranty,NDA,KR-Seoul,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,보증 부인. 공개자는 비밀정보의 정확성·완전성·적합성에 대하여 명시적 또는 묵시적 보증을 하지 않는다.
NDA_REF_KR_2025_V1,injunctive_relief-042,제12조 제2항,12,2,"금지명령. 수신자의 위반은 회복하기 어려운 손해를 초래할 수 있으므로, 공개자는 금전배상 외에 가처분 등 형평법상 구제를 청구할 수 있다.",injunctive_relief,NDA,KR-Busan,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"금지명령. 수신자의 위반은 회복하기 어려운 손해를 초래할 수 있으므로, 공개자는 금전배상 외에 가처분 등 형평법상 구제를 청구할 수 있다."
NDA_REF_KR_2025_V1,governing_law-043,제13조 제3항,13,3,"준거법. 본 계약은 대한민국 법률에 따르며, 법률의 충돌 규정은 적용하지 아니한다.",governing_law,NDA,KR-Busan,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"준거법. 본 계약은 대한민국 법률에 따르며, 법률의 충돌 규정은 적용하지 아니한다."
NDA_REF_KR_2025_V1,jurisdiction_venue-044,제14조 제4항,14,4,관할. 분쟁은 서울중앙지방법원을 전속적 합의 관할 법원으로 한다.,jurisdiction_venue,NDA,KR,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,관할. 분쟁은 서울중앙지방법원을 전속적 합의 관할 법원으로 한다.
NDA_REF_KR_2025_V1,notices-045,제15조 제1항,15,1,"통지. 본 계약에 따른 통지는 서면(전자우편 포함)으로 하며, 영업일 기준 수신 시 효력이 발생한다.",notices,NDA,KR,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"통지. 본 계약에 따른 통지는 서면(전자우편 포함)으로 하며, 영업일 기준 수신 시 효력이 발생한다."
NDA_REF_KR_2025_V1,assignment-046,제1조 제2항,1,2,양도 금지. 어느 당사자도 상대방의 사전 서면 동의 없이 본 계약상의 권리·의무를 양도할 수 없다.,assignment,NDA,KR-Seoul,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,양도 금지. 어느 당사자도 상대방의 사전 서면 동의 없이 본 계약상의 권리·의무를 양도할 수 없다.
NDA_REF_KR_2025_V1,amendment-047,제2조 제3항,2,3,개정. 본 계약의 변경은 양 당사자의 서명 있는 서면으로만 효력을 가진다.,amendment,NDA,KR,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,개정. 본 계약의 변경은 양 당사자의 서명 있는 서면으로만 효력을 가진다.
NDA_REF_KR_2025_V1,waiver-048,제3조 제4항,3,4,권리불포기. 어느 당사자의 권리 불행사는 그 권리의 포기로 간주되지 아니한다.,waiver,NDA,KR-Busan,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,권리불포기. 어느 당사자의 권리 불행사는 그 권리의 포기로 간주되지 아니한다.
NDA_REF_KR_2025_V1,severability-049,제4조 제1항,4,1,"분리가능성. 일부 조항이 무효이거나 집행 불능이더라도, 나머지 조항의 효력에는 영향을 미치지 아니한다.",severability,NDA,KR,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"분리가능성. 일부 조항이 무효이거나 집행 불능이더라도, 나머지 조항의 효력에는 영향을 미치지 아니한다."
NDA_REF_KR_2025_V1,entire_agreement-050,제5조 제2항,5,2,"완전합의. 본 계약은 당사자 간 NDA에 관한 완전한 합의를 구성하며, 선행 합의·교신을 대체한다.",entire_agreement,NDA,KR-Seoul,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"완전합의. 본 계약은 당사자 간 NDA에 관한 완전한 합의를 구성하며, 선행 합의·교신을 대체한다."
NDA_REF_KR_2025_V1,counterparts-051,제6조 제3항,6,3,"대응작성. 본 계약은 복수의 원본으로 작성될 수 있으며, 전자 서명은 자필 서명과 동일한 효력을 가진다.",counterparts,NDA,KR,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"대응작성. 본 계약은 복수의 원본으로 작성될 수 있으며, 전자 서명은 자필 서명과 동일한 효력을 가진다."
NDA_REF_KR_2025_V1,export_control-052,제7조 제4항,7,4,"수출통제. 당사자들은 관련 수출입 통제 법령을 준수하며, 통제 대상 기술의 국외 이전을 금지한다.",export_control,NDA,KR,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"수출통제. 당사자들은 관련 수출입 통제 법령을 준수하며, 통제 대상 기술의 국외 이전을 금지한다."
NDA_REF_KR_2025_V1,non_solicitation-053,제8조 제1항,8,1,비유인. 각 당사자는 상대방의 임직원을 계약 종료 후 12개월 동안 유인·채용하지 않는다(일반 공고 응모 제외).,non_solicitation,NDA,KR-Busan,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,비유인. 각 당사자는 상대방의 임직원을 계약 종료 후 12개월 동안 유인·채용하지 않는다(일반 공고 응모 제외).
NDA_REF_KR_2025_V1,publicity-054,제9조 제2항,9,2,홍보 제한. 당사자 일방은 상대방의 상호·상표를 사전 서면 동의 없이 광고·보도자료 등에서 사용하지 않는다.,publicity,NDA,KR-Busan,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,홍보 제한. 당사자 일방은 상대방의 상호·상표를 사전 서면 동의 없이 광고·보도자료 등에서 사용하지 않는다.
NDA_REF_KR_2025_V1,data_protection-055,제10조 제3항,10,3,"개인정보보호. 비밀정보에 개인정보가 포함되는 경우 개인정보보호법 등 관련 법령을 준수하고, 최소권한·암호화·접근통제를 시행한다.",data_protection,NDA,KR-Busan,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"개인정보보호. 비밀정보에 개인정보가 포함되는 경우 개인정보보호법 등 관련 법령을 준수하고, 최소권한·암호화·접근통제를 시행한다."
NDA_REF_KR_2025_V1,audit_rights-056,제11조 제4항,11,4,"감사 권한. 공개자는 합리적인 범위에서 수신자의 비밀정보 관리 실태를 점검할 수 있으며, 수신자는 필요한 협조를 제공한다.",audit_rights,NDA,KR-Seoul,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"감사 권한. 공개자는 합리적인 범위에서 수신자의 비밀정보 관리 실태를 점검할 수 있으며, 수신자는 필요한 협조를 제공한다."
NDA_REF_KR_2025_V1,definitions-057,제12조 제1항,12,1,"정의. 본 계약에서 '목적'은 당사자 간 논의·평가·검증 등을 의미하며, '자료'는 서면·구두·전자적 형식의 일체 정보를 포함한다.",definitions,NDA,KR,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"정의. 본 계약에서 '목적'은 당사자 간 논의·평가·검증 등을 의미하며, '자료'는 서면·구두·전자적 형식의 일체 정보를 포함한다."
NDA_REF_KR_2025_V1,confidential_information_definition-058,제13조 제2항,13,2,"비밀정보의 정의. '비밀정보'란 공개되지 않은 기술·상업·재무·고객 정보 및 샘플·도면·코드 등 일체의 자료를 의미하며, 표시에 관계없이 그 성질상 비밀로 볼 수 있는 정보를 포함한다.",confidential_information_definition,NDA,KR,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"비밀정보의 정의. '비밀정보'란 공개되지 않은 기술·상업·재무·고객 정보 및 샘플·도면·코드 등 일체의 자료를 의미하며, 표시에 관계없이 그 성질상 비밀로 볼 수 있는 정보를 포함한다."
NDA_REF_KR_2025_V1,purpose-059,제14조 제3항,14,3,목적. 수신자는 비밀정보를 오직 프로젝트 타당성 검토 및 협업 가능성 평가 목적에 한하여 사용한다.,purpose,NDA,KR,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,목적. 수신자는 비밀정보를 오직 프로젝트 타당성 검토 및 협업 가능성 평가 목적에 한하여 사용한다.
NDA_REF_KR_2025_V1,non_disclosure-060,제15조 제4항,15,4,"비밀유지의무. 수신자는 비밀정보를 제3자에게 누설하여서는 아니 되며, 최소한 합리적인 주의의무 이상으로 이를 보호하여야 한다.",non_disclosure,NDA,KR-Busan,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"비밀유지의무. 수신자는 비밀정보를 제3자에게 누설하여서는 아니 되며, 최소한 합리적인 주의의무 이상으로 이를 보호하여야 한다."
NDA_REF_KR_2025_V1,non_use-061,제1조 제1항,1,1,비사용의무. 수신자는 비밀정보를 본 계약에서 정한 목적 외의 용도로 사용하지 아니한다.,non_use,NDA,KR-Busan,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,비사용의무. 수신자는 비밀정보를 본 계약에서 정한 목적 외의 용도로 사용하지 아니한다.
